name,link
class time,
english 1,https://meet.google.com/kfe-xvnu-sxr
english 2,https://meet.google.com/jvz-qcxy-veu
algebra,https://meet.google.com/jsi-sjgs-ere
geometry,https://meet.google.com/jsi-sjgs-ere
cs 1,https://meet.google.com/sry-vfxt-mxw
cs 2,https://meet.google.com/xwa-uheo-jvd
geography,https://meet.google.com/pir-xhhx-crm
kaz lang,https://meet.google.com/tqu-fujv-qof
kaz lit,https://meet.google.com/tqu-fujv-qof
rus lang 1,https://meet.google.com/ycw-ymnr-tnn
rus lang 2,https://meet.google.com/bts-nigd-rgq
physics,https://meet.google.com/tdo-kjrt-cqy 
chemestry,
biology,
kaz hist,https://meet.google.com/pts-gpjy-ohr
world hist,https://meet.google.com/pts-gpjy-ohr
,
