name,link
сынып сағаты,https://meet.google.com/jvz-qcxy-veu
ағылшын тілі 1 топ,https://meet.google.com/quz-qmxa-dhx
ағылшын тілі 2 топ,https://meet.google.com/jvz-qcxy-veu
алгебра,https://meet.google.com/kpq-engk-tew
геометрия,https://meet.google.com/kpq-engk-tew
информатика 1 топ,https://meet.google.com/ers-noja-sor
информатика 2 топ,https://meet.google.com/xwa-uheo-jvd
география,
қазақ тілі,https://meet.google.com/whj-eoww-now
қазақ әдебиеті,https://meet.google.com/whj-eoww-now
орыс тілі 1 топ,https://meet.google.com/ycw-ymnr-tnn
орыс тілі 2 топ,https://meet.google.com/bts-nigd-rgq
физика,
химия,https://meet.google.com/ffq-zsqz-yzi
биология,https://meet.google.com/zox-secc-rxc
қазақстан тарихы,https://meet.google.com/kgd-ameo-wit
дүниежүзі тарихы,https://meet.google.com/kgd-ameo-wit
,
